,sentiment,content
8082,neutral,@anisalovesu it was apparently a request by the guests
8090,neutral,@JonasBrothersOx umm..nope not anymoree
8097,neutral,@Jengo_ i wanna go to the pub
8103,neutral,where is @HoodieCouture ???
8107,neutral,JUST GOT BACK 4RM A LONG WORKOUT AT DA GYM  ....
8113,neutral,just slammed my finger in a car dor  FML ow
8114,neutral,Hmph I had to order some bootleg Pharos GPS phone they dont have the BB I wanted at Office Depot
8116,neutral,awesome i just ruined all my white clothes i never remember to separate
8126,neutral,finishing one shift in 37 mins... drive half an hour and start all over again till 1am...and back in @ 11am tomorrow .. and its sunny
8134,neutral,@kirbywhitehead haha! I remember that! That trip was fun. I Miss miss miss miss miss chu
8135,neutral,@chathuraw ???? ???? ????.....  ???? ???? ??????? ?? ???...
8136,neutral,wish i was 17 again
8137,neutral,says from now it will be impossible to Plurk from work  system administrators closed the access in the firew... http://plurk.com/p/x25jw
8145,neutral,Twitter is slow!
8153,neutral,Just updated #Tweetie and open in browser is still broken.
8154,neutral,@rawrrxsteffie yeah quite a few kids in my school got swine flu. they only close down the school if its 30 kids or more
8162,neutral,@inlovewitharmy i knoooooooooooow
8168,neutral,kinda has a headache...
8169,neutral,pool is still closed  and it is cloudy. what should i cook tonight?
8170,neutral,My trip to Igbaras will be postponed to next week
8171,neutral,Is concerned about @pixiefish
8173,neutral,@nikkijean wish i coulda been there
8199,neutral,@zHundred No. Not professional at all.
8200,neutral,@emclev yeah I can imagine!  Not nice   How much longer is your shift?
8201,neutral,So Bored. Firday Evening And Nothing To Do
8202,neutral,time to be nerd
8208,neutral,On the phone with the bank.
8210,neutral,last day at Adobe  buuuut I just registered for online tech writing course!
8216,neutral,@taragracee
8222,neutral,"@heresMonique hey u, no not yet  soon maybe tomorrow!"
8225,neutral,@nebgen I am lost. Please help me find a good home.
8229,neutral,"Of course, the Evil Day Job wants me to stay longer.  I need to win the lottery."
8246,neutral,"I'd respond, if I were going"
8252,neutral,"@skie I'd have responded, if I were going"
8266,neutral,At the DMV
8268,neutral,I hate it when I forget to actually turn on the dryer
8285,neutral,@statisticsio No! Why?
8286,neutral,@katiejonesy it does but that game doesn't.
8287,neutral,Aw. Toy Story 3 is coming out NEXT year.
8292,neutral,South of the Border! And officially out of South Carolina until January
8294,neutral,"If I were an heiress, I would be shopping all day  Kinda bad, I know"
8299,neutral,time for work
8305,neutral,I need more twitter friends. I'm checking this far too often and find nothing new
8312,neutral,my teeshirt is faaar too small for me but i like it too much to stop wearing it
8325,neutral,@atlanta_arcelay http://twitpic.com/4xvw2 - I got chased by a male chihuahua that looked like he was pregnant today  He was black and  ...
8331,neutral,@nick_carter The video is set to private
8337,neutral,"I don't get it, I was feeling fine yesterday. and now im a ball of sickness ! i hate the flu,"
8349,neutral,"@justinderekrich Good morning nyc! If I weren't broke, I would have landed there yesterday afternoon."
8350,neutral,"@heartintherain yeah but they had to come barcelona, because not all the fans can be in that concert  COME BARCELONA! JESSI TE QUIERO"
8363,neutral,@MarleeMatlin How did your book signing go?  If I lived there I would've came!
8384,neutral,Is working allll weeekend
8389,neutral,@payforglory i am sorry i don't like girls ~that way
8403,neutral,@kt__d  make it go awayyyyy
8404,neutral,"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says &quot;Crackerack&quot;?"
8412,neutral,He's getting ear tubes in about an hour so no food
8429,neutral,Now i cant find him  Gonna be a sleepless night tonight
8431,neutral,@ItsMeGregory you're so far
8433,neutral,I wanna roc wit'chu . Imy buu
8440,neutral,@nick_carter Vid is marked private..
8445,neutral,@dj_crisis deathmatch? I don't have that game. Plus.... I'm not really good at any games  lol
8446,neutral,Stressed out fro work and having a drink
8447,neutral,@deejaychips i havent laid my verse yet...
8449,neutral,the live version is so much better  ? http://blip.fm/~79my3
8451,neutral,@Madrox My condolences.
8453,neutral,"@stacywillert yeah that was me yesterday after i found out the house i want is sold, my bank effed me over and then the car accident"
8456,neutral,"@Galia ouch!! Applied Ec over the summer? And no graduation, then?  *hug*"
8458,neutral,@ClipperPrincess No I haven't made my page yet.  Had to work
8469,neutral,night nurse!! :S
8494,neutral,I'm back!! Sudden wave of melancholy takes over. I miss the Shining Emblem
8497,neutral,@petewentz hey are you guys planning any So Cal headlining shows around the time of the Blink tour? We dont get you in Irvine
8502,neutral,is awake and does not want to go to work...
8506,neutral,revising for exams
8507,neutral,@iNetters thank you
8513,neutral,I must be the only fool in twitterland that doesn't get retweet!!  #sadsville
8526,neutral,"i love Fly With Me, live chats and don't like being sick."
8528,neutral,meditating on my plans for the weekend...gotta work saturday...
8537,neutral,"@RNconsult alarm watch + pill name display for functioning Alzheimer patients w/b key; hear alarm &amp; ask, &quot;What is that noise about?&quot;"
8540,neutral,My moms calling hospice 4 great gpa  its only a matter of time only God knows.
8547,neutral,@technicoloring 1720 HA. except omg amy bb I have to give my loaner laptop back today so I may be without one for up to a month
8550,neutral,"On the way to Wildomar, CA towing the Lexus"
8558,neutral,"@artbynemo My name is Chad, but I won't be here tomorrow"
8559,neutral,Maybe I won't be getting a call.
8572,neutral,Wanted to buy Amber Bensons death's daughter today and no where had it
8575,neutral,@elishakhalid I called but you didnt answer
8576,neutral,@projectcloud pinched nerve
8582,neutral,@Im_Queen sorry if I got u sick.
8591,neutral,@Dangrmous where my terri go?
8594,neutral,@babyblueonline Awww Thatss Well Sad  x
8596,neutral,...just waiting to get picked up at the train station by my bro and then off to the gym. Can't believe I bumped someone last night
8599,neutral,@hezmcfly eww  What r u doing atm?
8605,neutral,damn... people contain gluten so now i cant be a cannibal
8610,neutral,@SEGA why not united kingdom
8613,neutral,@gabyrizzo i want pho... i've never had it before.
8620,neutral,"rainy day = Home do what I love to do =WRiTTING MUSiC, a dream dat I gave up on a long time ago"
8622,neutral,@mattydavidson noo  i only started 4th season on wednesday but im on ep11 (Y)
8624,neutral,@craigmcgill Actually maybe not - it's sold out for Sat lunch
8626,neutral,makin tea an its stressin me out
8638,neutral,"Great weekend ahead at #catlaughs comedy festival in Kilkenny, weather is fantastic. Unfortunately I have to go to Israel on Sunday"
8641,neutral,@StaceyVPofWC  I wish I knew someone down there who could hook us up.   a friend told me once that they got crappy seats for a show in CHI
8648,neutral,"I haven't been replying to people because seriously, I haven't refreshed twitter for a while. @ZindelaYentl Sorry.  @erinmcfly Thanks."
8649,neutral,Bird poo update... Managed to clean it all off but some slight stainage remains  any tips?
8650,neutral,@KristaNeher I wish I was going to Internet Week
8655,neutral,Lately i've been waking up with the sun in my face but not today..
8666,neutral,@blueyes121 I would but you're too far away
8671,neutral,@xvikki Yes it does
8676,neutral,haven't tweeted in like a day.  so here goes...
8682,neutral,"Lunch is boringgg  driving after school today, ugh hope i do better with mr. Dodd"
8690,neutral,@robbin_g that is so odd. i wanted to see it this weekend
8694,neutral,@HandiQuilterBG I have an even dozen.  thanks for reminding me. I quilt 2 and make 3. LOL
8695,neutral,just got back from Danas. watching Roseanne before I start to get ready for work
8709,neutral,Has got to look for a job this weekend
8713,neutral,my phone is broken    &amp; im too lazy to go to the verizon store to get a new one.. oh well i guess no phone for awhile.. aha
8719,neutral,Gotta go my phone is on it's last leg so can't promise any update.  3 years I have had it so not bad though  Dumb Blackberry
8721,neutral,@a_nobel ? ? ?????????????  = ?????? ?????? ?????? ?? ????
8728,neutral,@gotcoff33 haha I wish! I have 1 filling that broke and 1 cavitie that needs to get fixed!!!
8730,neutral,@robinjection well maybe someone will care
8731,neutral,@bcabeza I'm going to jordan &amp; jeffs wedding next weekend in atl.
8735,neutral,"I have a headache, and it's not going away."
8739,neutral,http://survivingtheworld.net/Lesson5.html &lt;&lt; I chose the wrong career
8742,neutral,Going there....
8743,neutral,"@_Marguerite Yup, that's Dianne and Claudia.  Dianne is new to Tweetville, Claudia has been on a while but not active here"
8745,neutral,@leecattley No idea
8746,neutral,Doctors appt
8755,neutral,@nick_carter It says the video is private
8758,neutral,swine flu outbreak in cayuga county we have our first case
8764,neutral,"I get another pack of geography test, so I have to correct it on the weekend."
8768,neutral,Ok..ok...my house needs cleaning...clothes need washing...time to put twitter away for awhile...wahhhh
8769,neutral,@mileycyrus MILEEY HOW CAN I VOE IN THE MV MOVIE AWARDS ?
8774,neutral,I don't like when my g1 changes.    I feel like google should send me an email and tell me all the things they're gunna do to my phone.
8775,neutral,is in history
8798,neutral,@Captain_Yavanna me too. she's everywhere...
8803,neutral,@danishaw No. I won't be back until the 7th
8804,neutral,my family went to the beach while i was at the pool with a friend and now i am stuck in the house till they get back.
8805,neutral,@Thequeenoffree i actually need to be cleaning my house
8806,neutral,tiss sad when people leave
8812,neutral,at work till 7.
8813,neutral,Dï¿½jï¿½ vu!!! Changing out of my GQ outfit
8823,neutral,i want so bad to go to the mcfly's concert  anybody up to go with me?
8834,neutral,Exactly 2 weeks left in Sigma
8837,neutral,@Yazziness
8838,neutral,@lordwow I'm still waiting for Separate Ways...
8858,neutral,found out that no one he knows is using Twitter.
8861,neutral,"@marcusbetts lol, I know how you feel, but with 4 kids and my current work load, I am maxed out with no time to grow things."
8866,neutral,@DKHOTOPIC aw
8871,neutral,"I just slept that entire flight, and woke up to the fact that the girl beside me had been watching Chitty Chitty Bang Bang!"
8876,neutral,@soniaohmae .. and you're on twitter! Did the tavern bore you that much?
8885,neutral,@S_Mak request me on bbm &amp; send all ur contact info. Everything didn't sync up from old phn  I have ur tmail info haha - DATED!
8890,neutral,"@DevonStebnicki sux, I'm thinking of being an accountant. Mad monies! I'm a middleschool cafeteria manager  (25k/yr)"
8891,neutral,*old me's dead and gone*
8894,neutral,Glued to the copier machine today.
8896,neutral,@alexcox13 shut up  you know what! oll just like zack again then.
8924,neutral,'s hair was on fire right now! Ewww it smells
8927,neutral,Just got notified my podcast was accepted into iTunes. http://budurl.com/SBit Of course I then realized it was miss formated  Fixed now.
8945,neutral,@justlikeanovel aw you could have played the penis game with me this morning! Nobody else wanted to play
8946,neutral,@TIM_berland LMAO I know I know
8952,neutral,is actual gonna need a new job and not just want
8954,neutral,Schwarzenegger proposes closing 220 state parks   http://bit.ly/MhKz0
8955,neutral,I look like schuhz and arabyrd now...
8962,neutral,@shadowsforsale  !!!!!!!!!!!!
8965,neutral,"@JoiDlove Y I GOTTA B TALKIN BOUT CLUBBIN Y CANT I B TALKIN BOUT THE MOVIES,DINNER,OR JUST HANGIN OUT"
8975,neutral,@PastimeDaily   Oh dear - Boyle is staying ...
8984,neutral,o ok..im jealous..i wish I was in bed
8988,neutral,@batbuick .. .great.. you can buy me lunch when i get my 10-15% pay cut next month..
8990,neutral,Almost ready for new Beta.... until we found a showstopping bug   Please standby.
8992,neutral,@Hetty4Christ  its my fav since i was little its gonna storm
8996,neutral,wants to meet Bill
9003,neutral,"@catashton ermm, more like a full black upper half.  and some a completley grey"
9004,neutral,@Nigganelle yeah do you feel anything at all? I remembered I was looking at loopt on his phone and that nigga was coughin all over that
9010,neutral,Danny cut his beautiful curls
9012,neutral,its almost lunch time for you
9028,neutral,boo (but will I listen?)
9031,neutral,I want the rain to go away! There has been too much of it lately
9042,neutral,"i want a dog or a cat or something  i want something to unconditonally love, thats not materialistic or a family memeber"
9046,neutral,"@renay Poor kitties  If there's nothing that can be done, hopefully you'll at least be able to find her a good home"
9048,neutral,@dysonrules don't make me smite you! and yeah @micolerose yeah it really does. No cuties for me
9053,neutral,@Emz2009 gutted your out off hollyoaks  xx
9056,neutral,ok its FF soooo why isn't anyone following MEEEE??? LOL ughhhh I have some lazy a%# followers they wont even help me out
9062,neutral,at 1st they said yes but it looks like they scratched that plan b/c of the supply demand  @travoloso
9066,neutral,"@MischievousMel Please send me those youtube links, Erin watched most of them but I was cooking and didn't get to see the cowboys"
9068,neutral,"@HottSnowflake never.  smh, I don't own flats  lol"
9069,neutral,@grentone Content content content .... gah! Story of my life right now - thx for reminding me. That's what I should be doing v. Tweeting
9074,neutral,#twpp ..still nw in trending topics..
9077,neutral,@adellecharles Sorry.  You're in upstate NY. Does chilly weather really surprise you? FL is much better &amp; the panhandle doesn't get as hot
9092,neutral,@ALauderdale smh @ playing dress up! lol. I can't see the vid though... Its not working
9094,neutral,@CowgirlNChaps it would be so fun.  too much to do.  not enough time or money.
9105,neutral,Site of our first date - Macri's Deli - closed.  Lunching at favorite local Greek spot - The Trojan Horse - instead.
9118,neutral,@caseywright ~acai emails~yes tons of them..
9128,neutral,@imalexevans He he i wish i could go to the gym
9135,neutral,"@jackieamodeo weird trigger. You should definitely ask him about them on monday, dude...  shitty."
9139,neutral,one last stop in Chicago before going back to Miami
9154,neutral,Transition time is over; tonight I work night shift. I woke up at 1330.
9165,neutral,at work booo....
9169,neutral,@philcanty
9170,neutral,I ate too many kisses.
9176,neutral,@amber_benson It's been raining here for 3 days
9177,neutral,im in stats and I'm bored and tireed
9192,neutral,"@MissCritta I know, but considering I've bought a lot of new yarn recently, I think it's necessary this time."
9195,neutral,"@AboveAllFabric I so agree with you we have been married for 7 yrs, and this is our 6th move  BLAH!!!"
9204,neutral,Got a deadline to meet!!! No TGIF for me
9208,neutral,Great lunch at baby bulls.  Now time for work til 930.
9223,neutral,"Going to clean my room but thats not hard. i keep my room pretty clean really....anyway, i could still be doing better things!!!!"
9227,neutral,"lol, you can see the sunburnnn    its not achurley that bad =| least i dont think it is xD http://tinyurl.com/njubcl"
9236,neutral,@nellcon I cannot  I have a full day of activities lol
9240,neutral,@nick_carter The video is `private I cant see it
9242,neutral,@its_erincharde yea as an afterthought
9250,neutral,@mellabella6 and if i lived in usa i would gotto 2 go to  106 park ma aunty lives in NYC the bronx GRRR
9252,neutral,"yay for nice weather, boo for cici not being here this weekend"
9256,neutral,@hindupez Maybe JD can help you out there I don't know though  But I will ask!
9263,neutral,"thinks something and okay, goodluck ako.  http://plurk.com/p/x2bnl"
9270,neutral,@ropiko I am also very tired
9271,neutral,Sleeping over my cousin's house for the weekend. Bugzy
9275,neutral,I realised that many people are not interested in doing business on Twitter - they just want to be heard online  Nothing more
9277,neutral,is is listening to Heart Ain't Brain by Chris Brown.  http://plurk.com/p/x2bp2
9286,neutral,"@Cathiria I'm on it, probably not until next week though"
9295,neutral,wishes he had realized his wife hadn't held onto the debit card before he took a long walk to get lunch and not after.  GRRR!
9301,neutral,Eurgh.. Revision.. Who invented History?
9302,neutral,I'm not putting anything
9308,neutral,Everyone we have another hater  @WeHateMileyC
9313,neutral,doesnt know how to pimp out here Twitter page.
9319,neutral,Webcams Hoepfner Burgfest in #Karlsruhe: Automatic reload #fail http://bit.ly/Vdtvf
9320,neutral,Better do some physics revision  x
9323,neutral,Hairspray in hair + lighter&amp;bong = new haircut
9329,neutral,@cassiekitsch Okay. So Rose told me your phone was shut off and you might be moving back to Spokane? What is going on?
9331,neutral,@avweije76 yep  but I'm going better now
9332,neutral,tour got canceled
9335,neutral,Is at work  ohwell need money so : D
9338,neutral,Leo Carillo Beach and WIll Rogers State Park are on the list of State Parks that might close      http://tinyurl.com/lhq8gs
9344,neutral,@sophielovemcfly i see 5 faces in that thing. but no more  xx
9346,neutral,"must... stop... using... LOL, so much... crap I did it again"
9353,neutral,@blackheartbunny - nope
9382,neutral,"@PoynterPerve i know, and we gotta wait until earl 2010, i think or very late 2009! its just wrong"
9384,neutral,Finally at home. Who decides it's time for more work at 17:10 on the Friday of a long weekend... apparently my client.
9389,neutral,right anyone know what episode of Bones is showing on sky2 tonight at 9pm - programme synopsis is not available on my box
9392,neutral,@aminakader my thoughts exactly
9395,neutral,Last time in the drama room
9408,neutral,"half of me wants to go to sleep, half of me dosen't. shoot. my other half is  dying of sleepiness"
9411,neutral,@Reavel i would be doing the same thing pero la lavadora se daï¿½o
9416,neutral,"@davidlem Re: meetings, you were right.  My afternoon has started to fill up"
9427,neutral,My dad's telling me to travel alone from now on. Not that I have a problem with that. I've done it before and it's boring!
9441,neutral,comes home in two days
9445,neutral,@alyseegs nope. Gone.
9456,neutral,No... have to go on cruches next 2 weeks
9470,neutral,I just realized that im going home 2 weeks from today
9472,neutral,@matthewjsmall My sources say no
9473,neutral,@jjskidmore i was in front of u the other day i waved and u didnt  off to eddie izzard now!
9474,neutral,@boulderdiaries I was afraid you were going to say that.
9477,neutral,Haha yea  if i knew yew wanted 2 go i would have told yew
9482,neutral,@charchaos how come  its for us now to win ms twitter world.is it not working for you ?
9484,neutral,had to give my 5 year old golden retriever away to another family today  #sad http://bit.ly/s48D0
9490,neutral,@tattoos1985 is it seven yet?
9496,neutral,@jacobjunior7 it's still being retarded for me
9500,neutral,"really need to study, many books many updates  :~"
9502,neutral,looking for my littlest tsutsu...
9508,neutral,Bummer. MacBook is bugging out  Any Mac heads want to lend a helping hand.
9518,neutral,Filling out paperwork.
9532,neutral,@danielfelice look like i can only quick post from the dashboard that is all
9533,neutral,@AshDaPrincess chill its da rihanna bob. If it was 16 in I'd have no problem!!! Lol. R u at school all summer
9539,neutral,@karliehustle i can almost imagine what the call taker must've felt like taking that call...especially if they have young ones at home.
9541,neutral,@nick_carter can't see it it says &quot;This video is private.&quot;
9545,neutral,"@SHARKSHOCKY Hi, California is cool! Here in Budapest/Hungary it's too cold and cloudy today  but usually it's hot in the summer)"
9553,neutral,this thing was more fun with my itouch
9556,neutral,@Huneychild ....back to a frizz head again
9559,neutral,gaahhhh! i want my #comet09 stream back...
9563,neutral,Internet stopped working right in the middle me quantum leap.  grr
9565,neutral,@rinaswag I think she'll probably have the baby before I get there unfortunately
9568,neutral,"@brieasaurus haha yeah, oh well im just going to go and be emo now"
9576,neutral,@ladyvee SO DO I!!   My jet is in the repair shop...lol
9581,neutral,@westerfield I picked up a taco over lunch... you got a guitar.
9586,neutral,Oooh the hangover
9587,neutral,Buried under more web changes. Going to make lunch now... I won't have a chance later. Too much to do.
9597,neutral,At work as always
9601,neutral,"got three grades so far: Math11 -&gt; B , Acct1B -&gt; A, Bio19 -&gt; A. Good times to be had. Sad about the math grade though."
9609,neutral,@dmann11 All those links on AICN are broken. Did they get slapped?
9611,neutral,"Mayne, its getting hot out here in georgia.."
9619,neutral,would really like to not be at work and instead taking a nap.
9620,neutral,@misschellebeans i work til 10:15...
9621,neutral,@AnnRan5 thats too bad
9627,neutral,Miss Cauzinhoooo already
9631,neutral,tummy hurts
9636,neutral,@dleroux I still have my lights still up   you think he can do mine too?
9637,neutral,@freckleface3 I am trying but I can't place it....sorry!!!
9641,neutral,"lazy day, staying off the foot as much as possible."
9643,neutral,has been told shes not allowed in the sun tomorow!  either that or wear sun cream!
9650,neutral,I'm sitting around wanting to do something  any ideas?
9653,neutral,Work around the house  boo
9654,neutral,says SPACE AND TIME IS ALL WE NEED  http://plurk.com/p/x2dvj
9663,neutral,@elisaxx http://twitpic.com/66y00 - Niceee  Hey i never get stickersss
9673,neutral,@redassyellabone It's time to be all u can be like the reserves....I lost one.
9676,neutral,@mileycyrus i dont think you can vote anymore! i tried
9678,neutral,"@AaronWarner I know, but I'm on Rogers and I'm pretty sure they don't have the same agreement with Twitter."
9682,neutral,"I'm going through withdrawls,  missing someone!!!!"
9692,neutral,@SocialVibe I have a FACEBOOK but I use MYSPACE and TWITTER the most. I hardly check my Facebook..
9698,neutral,twitter wont work on my mob....
9713,neutral,is looking for a job
9715,neutral,@marisianempire:   whatcha reading?
9720,neutral,bout tuh head out an find sum wher tuh go an chill
9734,neutral,I cant follow any1  on FollowFriday LOL u guys follow @SteveRaze @djpooh @losdigital @djsmartiez @djeightmile @maestro @rollingout @djlgee
9738,neutral,Prayers for my family and my dog - Mozart is being put down this afternoon.   Pics of him at http://tinyurl.com/mozartdog
9739,neutral,@EuanGriffin Why?
9744,neutral,I'm still thinking ... Idk
9745,neutral,@michy_mar_mey I want cake  is it chocolate!??
9746,neutral,@proactiff WHO IS SAYING ALL THIS...are you ignoring me *frowns*
9747,neutral,@cailingg me too  what are you doing?
9751,neutral,@kassielovee belly ache...lulz....I'm sorry though  ....ginger ale!
9757,neutral,@carbyville - Ya but they have to speak to you first to reply to them..
9762,neutral,I just filled out the forms to stop contributing to the retirement account i had set up with my employer  I have to pay off my credit card
9768,neutral,@sgBEAT:kwanghock @Valkyrieslife @kahhongtay @jeremy89632 it is the Hao Da Za Ji Pa?? I miss the food there so much??
9783,neutral,eating my roommate's cereal. sorry bro
9797,neutral,@solangeknowles girl you know beauty has a price
9799,neutral,"@ginamc she's been watching the cartoon clone wars, and she's totally into the force.  Shannon won't let her see the live ones yet tho"
9803,neutral,@Em_Fizz he's really not into new people  I dunno em but he said he'd try
9812,neutral,"@janelleyo Wish we could deliver alcohol, but state law prohibits us."
9818,neutral,"AK, flop comes 2K6 I bet 15 get raised to 25 I call, turn is A, we check, river rag, then I check and he bets 15, I raise 15 he calls, 22"
9822,neutral,Rainy day is rainy.
9849,neutral,@deathwishinc of course its not coming to boise
9855,neutral,@divarina21 did she tell you why she hasnt? i miss my boge.
9856,neutral,"@DevonStebnicki wow, that sounds way more stressful than my job  thought about continuing edu and making a move?"
9859,neutral,@DoTPeRioD that sucks
9867,neutral,little miss ugly
9871,neutral,@jzwack took my forum access away   fail.
9876,neutral,@JoeysMissMac Blah! Got a shot at the hospital   Taking gravol and moving very slow.
9882,neutral,@stefathena maybe i'll go one day and thanks i'm all swined out
9883,neutral,planning how to move back home...the regression process is in motion
9889,neutral,@so_precious06 sooo mad
9894,neutral,So full from a great lunch and now stuck in traffic
9903,neutral,@apollo18 Dang! Dogs are only for central and northern CA
9906,neutral,@OMS_AOP It has moved away from my house and must have found its way to yours
9915,neutral,@mileycyrus voting is over. since like four days ago i think  i told all my friends 2 vote for you a million times. you will win! love you
9920,neutral,@nmarshall23
9922,neutral,@SKYISLANDS that's just it... I don't have anything other than work
9929,neutral,"@bhamboxset I saw them at a show a few weeks ago.  Hate to say I was not all that impressed    fun. and AS were good, though."
9930,neutral,My new camera... http://tinyurl.com/l8pde3 ... RIP my hot pink Polaroid i733
9934,neutral,@meg_la_mania i have no mask to  whoooops
9936,neutral,"Started the week with a wedding, now ending the week with a funeral"
9937,neutral,@Bizfizz Does it start tomorrow?  I was going to book Sam on that and forgot
9943,neutral,@sianhughes_ i kinda hope she died in the fire cause i didnt like her but there was no sign of a body
9945,neutral,sneezing frequently
9953,neutral,ninja sushi for lunch but dominicks was out of sour gummy worms
9954,neutral,bored  and sleepy and listening to music :p doing project :S
9958,neutral,@arsc mega burguer was my lunch yesterday
9963,neutral,Dj Hero coming soon who's getting it? Seems like ima have to retire my Guitar Hero
9972,neutral,At minibar... listening to politics  maybe some tech starups soon?
9976,neutral,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I'd removed space which messed up URL.  ^ES
9980,neutral,@3Alexx It is AMAZING!!!  Its gonna get scratched sooo much though  Lol. I have 4 movies and 30 TV Shows on it already!!
9981,neutral,So tired &amp; ready for bed!! Really in the mood for salt &amp; pepper chicken wings &amp; noodles but have no money on me for a Chinese!
9983,neutral,working on homework!!!
9984,neutral,"Going back to my house to pick up some dvds for bapang and pick dito's up but forgot to pick up other dvds for dito, so I have to go back"
9986,neutral,"@shakamaiden DAMN dude... dia 06, 20 e 27 eu tenho curso na DRC  flash expert..."
9991,neutral,@cowmage  read something happy?
9992,neutral,alicias tonight? idkkkk. ughhh
9994,neutral,In Drivers Ed  then dance.
9997,neutral,@KourtneyKardash lucky bitch! haha we have COLDDD rain up here in MA  i would give anything for hot rain right now!
10008,neutral,"Waaah, asshat at CVS yesterday shortchanged me  I paid 10$ for chips."
10010,neutral,last time washing my hair
10013,neutral,@FTSKirstin its taking forever to upload
10028,neutral,I have MAJOR CRAMPLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
10035,neutral,"@Jamjar84 i got 2 much 2 do 2nite 2b bored. In bath still hav wash, dry, straight hair, get clothes ready etc"
10036,neutral,boo gf can't go now  I passed my guard training lol
10038,neutral,Had lunch at a Japanese sushi restaurant &amp; I ordered in Japanese as I usually do in sushi places. Cambodian waitress didn't have a clue
10039,neutral,@tapulous You always catch me away from my computer.  ?
10040,neutral,Ug. Full of cold and in a dark pub. Want to go outside
10041,neutral,@BossTutie I said hi to u
10046,neutral,@bobbyshirley Anything is accepted except Christianity. Google the discussion thread &quot;sexuality and religion&quot; and SLED for Second Life.
10055,neutral,@arischenck Headed back to Baltimore tonight
10066,neutral,I need to burp ....  Im so nauseas....
10068,neutral,"@tandmark well at least they have good taste in art,cabinet appts.not so much"
10070,neutral,@willisface you know you want to come keep me company whilst mum's at her friends for the night  it's such a nice evening!
10075,neutral,@vcha you should say mlia instead of fml  i hope you find it soon
10079,neutral,@EmmDeeCee no he wasn't there today
10086,neutral,@lilyroseallen no one ever wear a tshirt with me on it  you're very lucky
10093,neutral,"Ha, @joestump i'm giving spymaster a chance - just curious! will miss u"
10102,neutral,Hmmm...strained my back  Hope it's better tomorrow morning..
10104,neutral,work 4 - close
10113,neutral,Busy friday. I got lots to do and a game tonight. 8:15 at McNair! Last AP Lit and Gym today
10114,neutral,No Yonkers news posts until June 2 because the newspaper furloughed me
10115,neutral,"@dietsch Union Square? Somerville? You're better off with the 87. That probably helps you zero at this point, though."
10116,neutral,My teratoma has a cavity and is experiencing male-pattern baldness
10128,neutral,Spilled chocolate milk in my car
10129,neutral,@PBsAlienGirl  Happy Belated birthday hun!! My net broke  This is the first chance i've had to get online! Luff Yooooooo xxxxxxxx
10134,neutral,I dont know what to have for lunch today and its so darn cold today
10136,neutral,"@brianjking If the drive is automatically ejecting supported discs (ie CD-R), and you can't boot from a disc, it's time for AppleCare"
10141,neutral,"I assume nobody uses PortableApps anymore except for myself. In that case, forget what I said earlier"
10142,neutral,Red Rock for lunch with Colin. @JKearl and @euphor couldn't come.  IPA Junior freshly made! Yum yum yum.
10146,neutral,@BonesNeko_UK That sucks! I had my exams be4 half term so It's all good. Although they were major subjects now I have languages and stuff
10149,neutral,"two rooms packed and cleaned, three to go"
10170,neutral,my tree tipped over in the lawn
10173,neutral,@AbelPetSupply LOL! No trialing...for the most part Florida trials come to a screeching halt over the summer.  Have fun this weekend!
10178,neutral,@nikkie20six well I learnt to use a machine yesterday! not too confident yet though so... hand sewin for me!!  xxx
10179,neutral,still waiting
10183,neutral,"in computer class, photo booth doesn't  work"
10192,neutral,When am i getting a yearbook?  today was strange
10194,neutral,@SuprnaturlShana he not getting off early?
10201,neutral,@twinnadryl   .ï¿½ï¿½?????ï¿½ï¿½.  i bet. man i wish i coulda went some whr. i didn't even go out here. i was home all weekend.  nyt life sux here
10202,neutral,"Just sneezed three times in quick succession. But three is not four, so no record."
10204,neutral,continuo tentando trocar o background do twitter...over capacity!
10205,neutral,I want some cheese fries from fontanas.
10206,neutral,Done at the spa   now meeting vic for some late lunch!
10225,neutral,@brendaelizabeth yeah... I suppose
10227,neutral,is all alone for the evening!
10232,neutral,How does this Follow Friday thing work?  I don't have any real followers
10236,neutral,@Ellebella618 OMG.  I'm so sorry! Anything I can do to help?
10244,neutral,has no people skills.
10247,neutral,"@michaelwryan Can't, did I forget to say that?  hahaha   I wouldn't be able to get home."
10248,neutral,@HereLiesVanessa understandable. yah i leave on monday! I'll be gone when you're in chi
10249,neutral,@MSTALENT I know right...
10258,neutral,What up ab circle! Anddd It's still in the box  f work
10279,neutral,@Mileycyrus I tried 2 vote 4 u the other day but I couldn't figure out how 2 do it  help? Lol
10285,neutral,I put a real pic of myself up. I'm going to miss the avatar.
10287,neutral,@cfuess is making me hungry.  i had a bowl of cereal
10289,neutral,Ready to go home  2 more hrs of wrk
10295,neutral,"@markhoppus Think about adding Apple Shampoo.  100% My fav blink tune, and in the 3 times I've seen you guys, never heard it live."
10301,neutral,@GenuineAmy I wanna watch that movie again. Maybe that dvd will work in my laptop since Dawson's Creek doesn't
10302,neutral,@wren  I know.  Sorry.
